Ward,Place_Name,Place_ID,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Minato,瑞聖寺 大雄宝殿,ChIJcVS8_LKLGGARn6hNZbotZ4w,0,2,1,1,5,2,19,2,3,16
Minato,Fuji Television Network Inc,ChIJQQ6UsPeJGGAR3LFE4U43_NQ,1,14,0,1,11,8,50,1,7,14
Minato,Tokyo Joypolis,ChIJuTdPXvaJGGARJhT_Ai6urFQ,2,20,1,4,9,9,27,3,9,10
Minato,Rainbow Bridge,ChIJbWVFlTCKGGARr5l6ox-7_CA,0,12,0,0,18,3,38,0,11,15
Minato,Daiba Park,ChIJ9aeqHiCKGGARFh-fljrxUT0,10,12,0,7,15,12,30,4,5,15
Minato,Amphibious Bus by Tokyo Ducktour Splash Point,ChIJCwgzFByKGGARzfk2Ebjwel4,2,21,1,9,7,10,29,6,11,17
Minato,Odaiba Marine Park,ChIJ18IK6x2KGGARKTc2yLS-030,0,21,0,3,20,2,25,2,9,16
Minato,Fuji Television Headquarters HACHITAMA Spherical Observation Room,ChIJb2CosfeJGGAR_TIVIcsMyK4,0,7,0,2,7,5,19,2,3,11
Minato,Odaiba Rainbow Park,ChIJx5hUh_OJGGART6Fognv9_Mk,0,12,0,0,9,0,15,1,5,6
Minato,Teleport Bridge,ChIJic5uxPCJGGARHFHBqjf1nXo,0,0,0,1,2,1,4,1,0,3
Minato,Kōnan Ryokusui Park,ChIJ-8hsv0CKGGARdmQp1_mXgw0,0,13,1,0,13,0,20,2,10,12
Minato,Historic Site Memorial Monument,ChIJJ3z2aH-LGGAREznI8I2GOsw,1,6,0,0,6,4,15,2,1,4
Minato,Site of Explosives Storage,ChIJhy8XBlaLGGAR_O8PEA4d-Xk,7,12,0,8,1,11,25,1,2,4
Minato,Anchor and Chain Art,ChIJwbGgFWeLGGARHvAD-dPu3ao,0,2,0,0,3,1,6,1,3,1
Minato,Rainbow Bridge Promenade,ChIJWTDPE46JGGAR6A1n9w_xfxM,6,12,2,10,9,13,23,5,6,8
Minato,Statue of Liberty,ChIJp_dRJOOLGGARo5GGDjBnfrw,1,14,2,1,13,5,26,2,8,12
Minato,Love Sign Odaiba,ChIJFeU3GJGLGGAR2yzNv6jUsfM,0,2,0,0,2,0,5,0,0,1
Minato,Aqua City Odaiba Shrine,ChIJxWsRPPaJGGARLOOHJSxNf_k,3,9,0,0,5,3,9,1,2,8
Minato,Rainbow Promenade,ChIJafp9aA-JGGARIZ4yrRBA9_Y,0,2,0,0,3,0,5,1,2,1
Minato,Memorial Monument of Nirayama Town Shizuoka Prefecture,ChIJtVDiBGqJGGARaQdosKf-caM,1,0,0,0,0,1,3,0,1,0
Minato,Shinagawa Kita Port Park,ChIJDd782D6KGGARU87YemLM-IE,2,4,3,2,6,5,12,0,0,4
Minato,FCG Bldg,ChIJw3qKQduJGGARWr0DnXUAjV8,2,4,0,1,3,5,8,0,2,0
Minato,お台場冒険王,ChIJPYMDbgCNGGARuZB59vzOiN0,5,20,2,5,13,8,24,3,5,9
Minato,Konano Bridge,ChIJ4xSTRtqLGGARxvUO49Gvf-s,2,3,1,3,5,2,9,3,1,6
Minato,Kawasaki Robostage,ChIJy7jAHPeJGGARj9nEku7az9s,0,8,0,1,7,1,14,0,4,6
Minato,Bay Breeze Garden,ChIJ32AffUeKGGARD6Ni9J2YWl0,0,2,0,0,3,1,5,0,1,1
Minato,第一芝浦丸,ChIJVVWY3EeKGGARWGfOTmJ-v2E,2,7,1,5,1,7,16,6,2,7
Minato,Futo Park,ChIJcXl4TjSKGGAR-HrkGf4fKZM,2,6,1,1,5,4,9,0,1,4
Minato,Konan Third Street playground,ChIJoW3U1UeKGGARMisujDoeeIc,3,9,2,2,12,3,14,2,6,6
Minato,Shiosai Bridge,ChIJlWFm7TWKGGARpsUXLha-Yzk,0,1,0,0,0,1,0,0,0,0
Minato,Platanus Park,ChIJB34WEEqKGGARpaq95ARZA70,0,6,0,0,5,5,10,0,3,6
Minato,Shiba Maruyama Tumulus,ChIJ55pIRbmLGGAReFx7rf2nL8c,7,16,2,9,9,15,30,10,7,15
Minato,Tokyo Tower,ChIJCewJkL2LGGAR3Qmk0vCTGkg,1,18,0,0,13,7,36,3,9,13
Minato,Zōjōji,ChIJC2xnkb6LGGARJL0d222opIg,2,9,1,4,10,10,25,5,7,16
Minato,NHK Museum of Broadcasting,ChIJCcGIPpSLGGARzZ4ZW6hu6NE,1,11,0,2,10,1,17,1,4,11
Minato,Karasumori Shrine,ChIJmyHLzuuLGGAR_dp7Ams-EI4,2,5,2,6,9,7,21,4,3,8
Minato,Panasonic Shiodome Museum of Art,ChIJ6Sypp8KLGGAR4lmmX-zFFmo,4,5,6,8,4,15,11,4,1,8
Minato,The Old Shimbashi Station Railway History Exhibition Hall,ChIJ3YkTH-iLGGARFeFdXRMTGCA,5,6,0,0,1,9,11,0,0,3
Minato,Asaoka Meshitaki Well,ChIJk4lQPr-LGGARtZdLy9hIY_4,2,2,2,4,2,7,10,3,0,6
Minato,松蓮社,ChIJ___Tk5WLGGARD_ae8siBlt4,0,1,0,0,0,1,4,2,0,1
Minato,Italia Street,ChIJ5YHK2MOLGGARfS_kBq3T3Kc,3,8,3,5,7,6,13,2,2,8
Minato,Success Steps,ChIJ2cn3ZZSLGGARtAH08ZmRyIo,3,17,2,2,13,6,31,0,3,13
Minato,Japan longitude and latitude origin,ChIJPxLuDpiLGGARrpOPDjdOGtw,0,7,0,5,2,4,15,1,2,10
Minato,Shigeru Yokota Gallery,ChIJlaDjR86LGGARQItrXhG4188,0,2,0,0,2,0,2,1,3,1
Minato,Sakurada Park,ChIJU2yfPOqLGGAR5kyogpBYaUY,1,5,1,0,4,7,10,0,4,5
Minato,SL Square Shimbashi Station West Entrance Square,ChIJ--QO2OuLGGARArLS5ggknfU,0,5,0,2,3,3,6,1,3,5
Minato,Japan Sake and Shōchū Information Center,ChIJ_____-yLGGAR8bvuJnTEoFs,0,5,0,0,4,3,12,0,2,6
Minato,Shinkōin,ChIJG_Jxdr2LGGARo4c9XYwS20U,3,5,2,4,10,8,41,4,6,20
Minato,Nishikubo Hachiman Shrine,ChIJgwRJZJeLGGARGS9TGva9Ec4,0,6,0,0,5,2,13,3,2,7
Minato,Gate J,ChIJCSxVROqLGGARvoCrJ01g4jc,0,11,0,3,8,1,28,0,4,17
Minato,Takeshiba Ship Terminal,ChIJKSgs1NGLGGAR-VKyI3yWIxE,0,3,0,0,3,4,5,1,4,3
Minato,Shiba Toshogu,ChIJYeawQLmLGGAR2BdgTIsnMW0,2,6,2,2,6,3,15,0,3,8
Minato,Seishōji Temple,ChIJfy9hNJSLGGAR41_DfA3WUB0,0,7,0,3,6,1,10,1,2,7
Minato,Hinode Pier,ChIJFU3ezs2LGGARbErm6rqTfHw,0,10,0,0,6,3,15,1,5,3
Minato,Toranomon Kotohiragu,ChIJdc_l942LGGAR_f4Ot6q7ISo,1,12,1,3,12,2,21,0,9,10
Minato,Shiba Park Memorial,ChIJoQccixWLGGARGhqN-dSIxVY,1,2,0,0,0,2,5,0,0,0
Minato,Statue of Admiral Perry,ChIJnRUazbiLGGARe6zV9fDyv74,1,5,0,0,3,3,13,1,2,5
Minato,Former Daitokuin Reibyo Somon Gate,ChIJs8x7KbmLGGARa5QzTOovN48,0,1,0,2,3,3,9,1,1,3
Minato,Administration Office,ChIJJ2hO_L6LGGAR6bUkSjqgU3w,0,1,0,0,0,0,7,1,0,3
Minato,Zōjōji Treasures Gallery,ChIJMzFnjb6LGGARxIoAHgyGjLo,2,14,1,3,9,4,25,1,4,9
Minato,貯金塚,ChIJMzBHTMeLGGARzHLxEE_xWK0,7,10,2,6,10,16,43,5,7,30
Minato,A stone of the stonewall of Odaiba,ChIJ47IVsb-LGGARyPSyPIsJ74c,11,3,0,3,1,13,3,0,0,1
Minato,Sailor Moon Manhole Cover Blue,ChIJr8i8NACLGGARC3ToFK8zbSk,0,0,0,0,0,0,5,0,0,0
Minato,Monument for Ino Tadatakas national surveying,ChIJzbo6ULmLGGARquBQ7IuT4-Y,1,7,1,2,7,5,16,3,3,9
Minato,Shiba Park,ChIJaYt93b6LGGARRTt3Y7YkqVg,3,14,2,3,15,4,28,3,10,16
Minato,Shiba Park 4th Block,ChIJo_JFxL-LGGARdeXGPqUzSjY,1,6,2,0,8,2,13,1,2,3
Minato,赤十字情報プラザ,ChIJhxwHjMCLGGARSLhVkJ9aQoc,13,10,5,13,5,20,18,14,4,8
Minato,Haikuinscribed Monument of Ono Hanboku,ChIJ55o7WrmLGGAROL9f4UTqGqw,1,3,0,0,3,4,12,0,3,7
Minato,Snake Mound,ChIJQRMvwr2LGGARC3GHLt8p1wY,3,19,10,11,18,18,36,4,15,15
Minato,Momiji valley,ChIJwaj1yL2LGGARnm1x4JwnHe8,4,5,3,1,8,3,22,3,10,13
Minato,Momiji Waterfall,ChIJKbFrx72LGGAR1uyToVEdITo,1,5,1,1,3,7,12,5,4,4
Minato,東京タワーを見上げる階段東京タワー地下駐車場出入口,ChIJ4_ZvIgCLGGARLUI8wFAnNA0,0,10,0,1,2,7,6,1,1,2
Minato,東京鐵塔售票口,ChIJS3ioM3SLGGARUG1WA0cOKS4,0,1,0,0,2,1,2,0,2,3
Minato,Konchiin,ChIJU3Y19b2LGGARyjBjYYHekpI,1,1,2,2,1,4,6,4,1,2
Minato,Shinagawa Central Garden,ChIJDUOuOVuKGGARvW6a5im7bOs,1,4,1,0,2,1,7,0,2,3
Minato,Museum of Marine Science Tokyo University of Marine Science and Technology,ChIJ9aawRUGKGGARtp40czt54S4,1,7,1,0,4,2,18,1,3,4
Minato,Konan waraku Park,ChIJKwzTjUaKGGARco_pKpf1hI4,1,4,2,1,6,4,7,1,5,6
Minato,Konan Star Park,ChIJ64NerVqKGGAR2hooN4EjDLM,0,2,0,0,1,0,8,0,0,1
Minato,Field B,ChIJASvm9kOKGGARomVcsXrIntQ,0,3,0,0,6,0,13,0,2,3
Minato,Tide Park,ChIJl_pr2FqKGGARoT3W-Azkt-s,0,6,0,0,5,2,9,0,3,3
Minato,Shinagawa Station Founding Monument,ChIJNYsCG4SLGGARH-pjSP2No-c,6,16,3,6,7,9,29,10,1,8
Minato,Forest Park,ChIJ5XzRoFyKGGARxbNl5LaIAbM,0,9,1,1,10,4,19,2,1,9
Minato,Kōnan Park,ChIJtWIqLkKKGGARZdQJI-JfzFU,1,3,1,2,3,2,7,3,2,3
Minato,いちょう坂,ChIJIwU2Nm6LGGAR8MVjPIlhFSU,3,8,3,3,8,6,15,4,7,8
